i,counter,word
1, 10489, said
2, 9468, one
3, 8391, mr
4, 8041, would
5, 5673, could
6, 5425, time
7, 5044, upon
8, 4874, man
9, 4826, general
10, 4629, old
11, 4361, may
12, 4313, two
13, 3985, little
14, 3875, great
15, 3712, see
16, 3645, made
17, 3587, must
18, 3546, well
19, 3453, like
20, 3440, first
21, 3230, us
22, 3166, know
23, 3144, much
24, 3129, good
25, 3046, never
26, 2927, come
27, 2885, say
28, 2864, back
29, 2823, day
30, 2800, men
31, 2797, many
32, 2793, project
33, 2786, work
34, 2773, came
35, 2769, long
36, 2719, way
37, 2691, without
38, 2684, gutenberg
39, 2584, life
40, 2548, might
41, 2493, even
42, 2425, go
43, 2420, found
44, 2387, sir
45, 2383, make
46, 2373, new
47, 2360, every
48, 2179, still
49, 2171, pickwick
50, 2163, hand
51, 2163, right
52, 2143, mrs
53, 2112, another
54, 2071, went
55, 2047, think
56, 2044, away
57, 2037, place
58, 2024, yet
59, 2023, head
60, 2006, thought
61, 1978, last
62, 1957, people
63, 1951, three
64, 1938, young
65, 1924, nothing
66, 1900, years
67, 1894, shall
68, 1892, house
69, 1886, left
70, 1880, though
71, 1866, eyes
72, 1857, night
73, 1820, mind
74, 1803, part
75, 1800, thus
76, 1799, saw
77, 1797, ever
78, 1780, far
79, 1774, also
80, 1771, take
81, 1757, name
82, 1746, species
83, 1733, took
84, 1693, tm
85, 1656, lady
86, 1642, whole
87, 1562, thing
88, 1539, god
89, 1536, however
90, 1527, full
91, 1519, works
92, 1518, tell
93, 1515, seemed
94, 1513, room
95, 1506, got
96, 1505, seen
97, 1502, replied
98, 1495, dear
99, 1482, let
100, 1481, quite
101, 1462, get
102, 1460, give
103, 1447, face
104, 1445, half
105, 1427, always
106, 1420, looked
107, 1412, put
108, 1411, soon
109, 1386, look
110, 1383, told
111, 1377, among
112, 1377, course
113, 1372, sam
114, 1371, yes
115, 1363, case
116, 1329, water
117, 1323, things
118, 1314, world
119, 1313, knew
120, 1312, called
121, 1304, use
122, 1297, country
123, 1297, heard
124, 1293, days
125, 1288, better
126, 1286, find
127, 1280, several
128, 1271, war
129, 1269, army
130, 1267, door
131, 1261, done
132, 1255, going
133, 1249, hundred
134, 1248, state
135, 1233, side
136, 1215, boy
137, 1201, whose
138, 1196, set
139, 1196, moment
140, 1192, point
141, 1185, gwen
142, 1182, end
143, 1177, light
144, 1170, large
145, 1169, fact
146, 1163, hands
147, 1160, small
148, 1160, next
149, 1153, order
150, 1152, less
151, 1147, round
152, 1147, within
153, 1146, near
154, 1145, known
155, 1140, words
156, 1139, word
157, 1129, oh
158, 1128, states
159, 1126, nature
