i,counter,word
1, 206546, the
2, 116786, of
3, 101586, and
4, 84200, to
5, 65238, a
6, 57955, in
7, 37791, i
8, 37280, that
9, 34576, was
10, 31682, it
11, 27976, he
12, 27824, his
13, 25167, as
14, 24993, with
15, 22801, for
16, 22058, is
17, 20869, had
18, 19429, at
19, 19043, on
20, 18644, by
21, 17747, not
22, 17540, you
23, 17493, be
24, 17033, but
25, 16399, this
26, 15440, which
27, 14839, have
28, 14504, or
29, 14012, from
30, 12922, my
31, 12715, all
32, 11904, her
33, 11684, we
34, 11665, they
35, 11286, were
36, 10536, him
37, 10489, said
38, 9944, an
39, 9678, so
40, 9644, are
41, 9635, she
42, 9468, one
43, 9466, their
44, 9446, no
45, 9341, me
46, 8732, been
47, 8391, mr
48, 8041, would
49, 7973, when
50, 7894, if
51, 7840, there
52, 6933, them
53, 6796, who
54, 6608, what
55, 6310, up
56, 6290, will
57, 6249, out
58, 6011, more
59, 5945, its
60, 5914, any
61, 5774, very
62, 5693, then
63, 5676, into
64, 5673, could
65, 5525, some
66, 5425, time
67, 5096, other
68, 5044, upon
69, 5042, our
70, 5035, about
71, 5025, do
72, 4891, than
73, 4874, man
74, 4829, has
75, 4826, general
76, 4825, only
77, 4687, now
78, 4629, old
79, 4361, may
80, 4360, these
81, 4313, two
82, 4207, your
83, 4187, can
84, 3985, little
85, 3985, such
86, 3875, great
87, 3804, did
88, 3712, see
89, 3662, should
90, 3645, made
91, 3590, before
92, 3587, must
93, 3546, well
94, 3544, how
95, 3479, after
96, 3453, like
97, 3440, first
98, 3401, down
99, 3329, most
100, 3325, over
101, 3230, us
102, 3168, same
103, 3166, know
104, 3144, much
105, 3129, good
106, 3095, where
107, 3063, being
108, 3046, never
109, 2927, come
110, 2922, here
111, 2885, say
112, 2864, back
113, 2845, own
114, 2823, day
115, 2800, men
116, 2797, many
117, 2793, project
118, 2786, work
119, 2773, came
120, 2769, long
121, 2719, way
122, 2691, without
123, 2684, gutenberg
124, 2611, again
125, 2584, life
126, 2552, under
127, 2548, might
128, 2521, through
129, 2493, even
130, 2465, himself
131, 2425, go
132, 2420, found
133, 2391, those
134, 2387, sir
135, 2383, make
136, 2373, new
137, 2360, every
138, 2217, each
139, 2179, still
140, 2171, pickwick
141, 2163, hand
142, 2163, right
143, 2143, mrs
144, 2142, while
145, 2112, another
146, 2089, too
147, 2071, went
148, 2047, think
149, 2044, away
150, 2037, place
151, 2024, yet
152, 2023, head
153, 2013, just
154, 2006, thought
155, 1997, between
156, 1980, am
157, 1978, last
158, 1957, people
159, 1951, three
160, 1938, young
161, 1924, nothing
162, 1900, years
163, 1894, shall
164, 1892, house
165, 1886, left
166, 1880, though
167, 1880, once
168, 1872, having
169, 1866, eyes
170, 1857, night
171, 1848, off
172, 1820, mind
173, 1803, part
174, 1800, thus
175, 1799, saw
176, 1797, ever
177, 1780, far
178, 1774, also
179, 1771, take
180, 1757, name
181, 1746, species
182, 1733, took
183, 1693, tm
184, 1689, both
185, 1656, lady
186, 1642, whole
187, 1639, against
188, 1630, why
189, 1575, because
190, 1562, thing
191, 1542, few
192, 1539, god
193, 1536, however
194, 1527, full
195, 1519, works
196, 1518, tell
197, 1515, seemed
198, 1513, room
199, 1506, got
200, 1505, seen
201, 1502, replied
202, 1495, dear
203, 1482, let
204, 1481, quite
205, 1462, get
206, 1460, give
207, 1447, face
208, 1445, half
209, 1427, always
210, 1420, looked
211, 1412, put
212, 1411, soon
213, 1386, look
214, 1383, told
215, 1377, among
216, 1377, course
217, 1372, sam
218, 1371, yes
219, 1363, case
220, 1329, water
221, 1323, things
222, 1314, world
223, 1313, knew
224, 1312, called
225, 1304, use
226, 1297, country
227, 1297, heard
228, 1293, days
