i,counter,word
1, 6375, mr
2, 5212, said
3, 4217, general
4, 3391, one
5, 2482, would
6, 2238, time
7, 2171, pickwick
8, 2098, upon
9, 1966, man
10, 1948, could
11, 1697, may
12, 1684, sir
13, 1676, two
14, 1595, little
15, 1499, old
16, 1498, us
17, 1373, men
18, 1357, made
19, 1350, well
20, 1350, must
21, 1293, great
22, 1256, first
23, 1245, good
24, 1224, replied
25, 1200, day
26, 1174, army
27, 1169, sam
28, 1167, like
29, 1163, see
30, 1123, project
31, 1116, much
32, 1100, gutenberg
33, 1085, way
34, 1075, back
35, 1027, know
36, 977, found
37, 974, came
38, 964, come
39, 959, work
40, 956, say
41, 954, long
42, 940, without
43, 932, weller
44, 919, many
45, 915, right
46, 914, never
47, 913, make
48, 911, house
49, 907, every
50, 882, people
51, 879, night
52, 858, three
53, 847, left
54, 839, go
55, 835, still
56, 820, head
57, 814, another
58, 798, new
59, 798, war
60, 796, away
61, 792, place
62, 785, think
63, 780, even
64, 772, hand
65, 758, take
66, 753, room
67, 727, gentleman
68, 726, whole
69, 726, thought
70, 721, might
71, 713, last
72, 709, also
73, 701, river
74, 699, saw
75, 692, went
76, 686, took
77, 685, tm
78, 677, division
79, 668, eyes
80, 662, get
81, 661, shall
82, 660, water
83, 646, states
84, 645, full
85, 644, part
86, 643, far
87, 641, soon
88, 632, hundred
89, 631, near
90, 631, thing
91, 627, nothing
92, 626, ever
93, 623, yet
94, 620, mrs
95, 614, got
96, 605, dear
97, 605, seemed
98, 604, road
99, 603, name
100, 602, looked
101, 599, thus
102, 599, mind
103, 588, corps
104, 586, course
105, 580, state
106, 579, things
107, 577, colonel
108, 576, life
109, 574, thousand
110, 573, point
111, 571, major
112, 570, four
113, 568, door
114, 560, next
115, 557, half
116, 557, young
117, 552, face
118, 543, winkle
119, 541, seen
120, 539, country
121, 530, orders
122, 528, put
123, 522, side
124, 521, heard
125, 521, asked
126, 518, let
127, 514, command
128, 511, small
129, 511, united
130, 510, round
131, 509, morning
132, 508, grant
133, 508, days
134, 505, large
135, 505, five
136, 499, sherman
137, 497, give
138, 497, enemy
139, 494, use
140, 493, miles
141, 493, order
142, 491, matter
143, 491, done
144, 490, force
145, 489, look
146, 487, boy
147, 483, ground
148, 480, within
149, 477, among
150, 476, terms
151, 476, cannot
152, 476, though
153, 474, quite
154, 474, called
155, 473, lady
156, 473, works
157, 473, looking
158, 471, along
159, 467, yes
160, 463, o
161, 462, sent
162, 462, black
163, 462, better
164, 461, fire
165, 461, light
166, 459, city
167, 458, form
168, 456, moment
169, 454, reached
170, 454, possible
171, 453, certain
172, 450, turned
173, 444, inquired
174, 440, received
175, 439, enough
176, 439, find
177, 435, line
178, 432, common
179, 431, going
180, 430, however
181, 430, m
182, 428, cavalry
183, 424, oh
184, 423, e
185, 422, years
186, 421, always
187, 421, knew
188, 419, p
189, 418, friend
190, 418, several
191, 415, air
192, 414, fact
193, 413, end
194, 412, railroad
195, 410, gave
196, 410, rather
197, 410, friends
198, 407, words
199, 403, hands
200, 399, set
201, 397, across
202, 397, law
203, 396, passed
204, 395, best
205, 392, person
206, 392, troops
207, 391, case
208, 391, behind
209, 390, sea
210, 389, began
211, 386, till
212, 385, twenty
213, 385, word
214, 385, south
215, 381, indeed
216, 380, world
217, 378, letter
218, 371, voice
219, 369, tell
220, 369, known
221, 366, horse
222, 366, open
223, 365, march
224, 365, felt
225, 364, second
226, 363, something
227, 363, whether
228, 360, red
229, 360, whose
230, 359, home
231, 359, manner
232, 359, front
233, 359, public
234, 358, subject
235, 358, white
236, 357, officers
237, 354, present
238, 353, trot
239, 352, number
240, 352, high
241, 350, w
242, 349, taken
243, 348, leave
244, 347, brought
245, 346, already
246, 346, others
247, 345, stood
248, 344, short
249, 344, almost
250, 344, given
251, 343, want
252, 343, gentlemen
253, 343, position
254, 342, perhaps
255, 342, business
256, 341, towards
257, 339, hear
258, 337, ordered
259, 336, together
260, 336, lay
261, 335, gone
262, 333, used
263, 333, six
264, 332, cause
265, 330, returned
266, 330, means
267, 329, close
268, 328, electronic
269, 328, military
270, 328, fort
271, 327, keep
272, 327, wery
273, 327, less
274, 325, heart
275, 324, since
276, 324, around
277, 322, toward
278, 322, north
279, 321, tennessee
280, 320, street
281, 318, forward
282, 318, reason
283, 317, land
284, 317, president
285, 315, field
286, 315, either
287, 314, tupman
288, 313, question
289, 312, forth
290, 310, washington
291, 308, bill
292, 307, followed
293, 307, fell
294, 306, strong
295, 306, told
296, 305, hope
297, 304, captain
298, 301, nature
299, 299, held
300, 298, nearly
301, 296, true
302, 295, doubt
303, 294, answered
304, 294, ready
305, 293, etc
306, 292, earth
307, 291, company
308, 291, kind
309, 290, lieutenant
310, 290, foundation
311, 290, arms
312, 289, office
313, 289, c
314, 289, effect
315, 288, party
316, 288, sat
317, 285, headquarters
318, 284, ten
319, 283, necessary
320, 283, thomas
321, 282, beyond
322, 281, alone
323, 281, body
324, 280, third
325, 280, bridge
326, 280, sure
327, 280, feet
328, 279, battle
329, 279, bob
330, 278, feel
331, 278, power
332, 277, agreement
333, 276, death
334, 276, money
335, 275, savannah
336, 275, green
337, 275, purpose
338, 274, chapter
339, 274, continued
340, 273, really
341, 272, family
342, 272, eye
343, 269, wizard
344, 269, except
345, 269, table
346, 268, therefore
347, 268, call
348, 268, pretty
349, 267, anything
350, 265, following
351, 265, st
352, 264, sound
353, 264, mean
354, 264, suddenly
355, 262, brigade
356, 262, read
357, 262, became
358, 258, says
359, 257, truth
360, 257, remained
361, 257, chief
362, 256, appeared
363, 255, act
364, 255, least
365, 255, taking
366, 255, commanding
367, 255, return
368, 252, length
369, 252, making
370, 252, town
371, 252, observed
372, 251, wardle
373, 251, believe
374, 251, girl
375, 250, sense
376, 250, particular
377, 249, dorothy
378, 249, dark
379, 248, father
380, 248, clear
381, 247, mississippi
382, 247, although
383, 247, hold
384, 246, hour
385, 246, move
386, 245, times
387, 245, sawyer
388, 245, help
389, 245, atlanta
390, 244, hill
391, 244, smith
392, 244, view
393, 243, department
394, 243, conclusion
395, 243, rest
396, 243, government
397, 243, officer
398, 242, strange
399, 241, big
400, 241, often
401, 240, heavy
402, 240, reach
403, 239, evening
404, 237, met
405, 237, love
406, 237, logic
407, 237, brother
408, 236, wish
409, 236, staff
410, 235, horses
411, 235, ohio
412, 235, answer
413, 235, coming
414, 234, entered
415, 234, dead
416, 234, rebel
417, 234, object
418, 232, exclaimed
419, 232, glass
420, 232, fine
421, 231, camp
422, 231, account
423, 230, poor
424, 230, rear
425, 230, bed
426, 230, copy
427, 230, fellow
428, 229, single
429, 229, suppose
430, 228, blue
431, 228, walked
432, 226, snodgrass
433, 226, cried
434, 225, direction
435, 225, attention
436, 225, slowly
437, 224, west
438, 223, real
439, 223, character
440, 223, hard
441, 222, send
442, 221, lost
443, 221, immediately
444, 220, master
445, 220, houses
446, 219, turn
447, 218, chair
448, 218, certainly
449, 217, idea
450, 217, unless
451, 217, book
452, 216, carried
453, 215, hat
454, 215, secretary
455, 215, deep
456, 214, information
457, 214, individual
458, 214, d
459, 214, j
460, 213, early
461, 212, interest
462, 211, action
463, 211, trees
464, 211, thirty
465, 210, commanded
466, 210, outside
467, 209, leaving
468, 209, de
469, 209, none
470, 208, woman
471, 208, fifty
472, 207, arrived
473, 206, feeling
474, 206, live
475, 206, low
476, 206, important
477, 205, personal
478, 204, meet
479, 204, simply
480, 203, remember
481, 203, lines
482, 202, explained
483, 202, kept
484, 202, license
485, 202, property
486, 202, divisions
487, 201, past
488, 201, opened
489, 201, guns
490, 201, bring
491, 201, started
492, 201, speak
493, 201, conversation
494, 200, eight
495, 200, pocket
496, 200, laws
497, 200, possession
498, 200, boat
499, 199, artillery
500, 199, report
501, 198, understand
502, 197, middle
503, 197, show
504, 197, judge
505, 197, court
506, 197, able
507, 196, merely
508, 195, johnston
509, 195, john
510, 195, appearance
511, 195, infantry
512, 195, different
513, 194, donations
514, 194, fear
515, 194, minutes
516, 194, sort
517, 194, floor
518, 194, movement
519, 193, paper
520, 193, fat
521, 192, condition
522, 192, sight
523, 192, class
524, 192, human
525, 192, vicksburg
526, 191, knowledge
527, 191, king
528, 191, window
529, 191, care
530, 191, mere
531, 191, wanted
532, 191, uncle
533, 189, beautiful
534, 189, change
535, 189, children
536, 188, year
537, 188, added
538, 188, notice
539, 187, copyright
540, 187, run
541, 187, regiment
542, 187, countenance
543, 187, free
544, 186, sammy
545, 186, perker
546, 186, queen
547, 185, distance
548, 185, tom
549, 185, east
550, 185, main
551, 184, f
552, 184, future
553, 184, proceeded
554, 184, paid
555, 184, follow
556, 184, gold
557, 184, stopped
558, 184, proposition
559, 182, wife
560, 182, need
561, 182, soldiers
562, 181, armies
563, 181, grew
564, 181, special
565, 181, moved
566, 181, attack
567, 181, names
568, 180, led
569, 180, em
570, 180, god
571, 179, bank
572, 179, louis
573, 179, georgia
574, 179, wall
575, 178, learned
576, 178, literary
577, 178, charge
578, 178, struck
579, 178, ladies
580, 178, method
581, 178, arm
582, 177, placed
583, 177, ask
584, 176, machine
585, 176, cold
586, 176, generally
587, 176, coat
588, 176, london
589, 176, mother
590, 175, become
591, 175, drew
592, 175, due
593, 174, sun
594, 174, spoke
595, 174, dollars
596, 174, allen
597, 174, stranger
598, 173, engaged
599, 173, term
600, 173, reported
601, 173, opinion
602, 172, points
603, 172, fall
604, 172, afterward
605, 172, brigadier
606, 171, facts
607, 171, roads
608, 171, whatever
609, 170, ordinary
610, 170, ha
611, 170, occupied
612, 170, york
613, 169, service
614, 169, cut
615, 169, expression
616, 169, fully
617, 169, latter
618, 169, lord
619, 169, prisoners
620, 168, start
621, 168, hours
622, 168, schofield
623, 168, pott
624, 168, usual
625, 168, speech
626, 168, proper
627, 168, smile
628, 167, written
629, 167, perfectly
630, 166, ought
631, 166, passage
632, 166, standing
633, 166, post
634, 166, seem
635, 166, corner
636, 165, legs
637, 165, ah
638, 165, remain
639, 164, bardell
640, 164, martians
641, 164, fast
642, 164, mine
643, 163, impossible
644, 163, advance
645, 163, supposed
646, 163, sleep
647, 162, circumstances
648, 162, seven
649, 162, figure
650, 162, meaning
651, 162, top
652, 162, archive
653, 162, please
654, 162, various
655, 161, saying
656, 161, chattanooga
657, 161, stand
658, 160, tone
659, 160, child
660, 160, late
661, 160, memphis
662, 160, happened
663, 160, beneath
664, 160, reply
665, 159, strength
666, 159, cross
667, 159, history
668, 159, generals
669, 158, including
670, 158, happy
671, 158, hood
672, 158, instant
673, 158, natural
674, 158, note
675, 158, pay
676, 157, job
677, 157, april
678, 157, rose
679, 157, rapidly
680, 157, turning
681, 157, guard
682, 156, jim
683, 156, food
684, 156, carolina
685, 156, immediate
686, 156, servant
687, 156, carry
688, 156, matters
689, 156, coach
690, 155, wrong
691, 155, spirit
692, 155, san
693, 154, observation
694, 154, story
695, 154, else
696, 154, neither
697, 154, stop
698, 154, escape
699, 154, everything
700, 154, especially
701, 154, ran
702, 153, mouth
703, 153, prepared
704, 153, broken
705, 153, b
706, 153, forms
707, 153, result
708, 152, silence
709, 152, wagons
710, 152, events
711, 152, argument
712, 152, principle
713, 152, closed
714, 151, leading
715, 151, son
716, 150, fourth
717, 149, laid
718, 149, california
719, 149, killed
720, 149, pleasure
721, 149, respect
722, 149, instead
723, 149, wounded
724, 148, couple
725, 148, foot
726, 148, bad
727, 148, seems
728, 147, zog
729, 147, governor
730, 147, save
731, 147, syllogism
732, 146, jingle
733, 146, step
734, 146, expected
735, 146, probably
736, 145, pass
